Name_of_the_Political_Party,Denominations,Date,Month,Year,id
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000.0,12,April,2019,OC775
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000.0,12,April,2019,OC3975
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000.0,12,April,2019,OC3967
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10418
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL126
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL116
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10466
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL122
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL158
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL108
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10446
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10434
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL162
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL128
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL113
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10423
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL110
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL131
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL164
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL118
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10449
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10417
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10426
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10420
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10443
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10452
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL160
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10408
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL120
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10464
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL124
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10440
ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000.0,12,April,2019,TL10469
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC6646
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC6644
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5470
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5455
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5467
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5460
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5463
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5451
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5458
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5454
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5474
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5459
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5475
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5464
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5453
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5472
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5471
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5468
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5450
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5462
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5457
BHARAT RASHTRA SAMITHI,10000000.0,12,April,2019,OC5466
BHARAT RASHTRA SAMITHI,1000000.0,12,April,2019,TL10876
BHARAT RASHTRA SAMITHI,1000000.0,12,April,2019,TL10877
BHARAT RASHTRA SAMITHI,1000000.0,12,April,2019,TL10885
BHARAT RASHTRA SAMITHI,1000000.0,12,April,2019,TL10856
BHARAT RASHTRA SAMITHI,1000000.0,12,April,2019,TL10870
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4274
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4276
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5827
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5847
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4303
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4301
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5831
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4321
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5861
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4325
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5843
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5837
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5817
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4319
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4293
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4305
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5801
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC5825
BHARATIYA JANATA PARTY,10000000.0,12,April,2019,OC4313
