Name_of_the_Purchaser,Denominations,purchase_date,purchase_month,purchase_year,id
A B C INDIA LIMITED,1000000.0,12,Apr,2019,TL11448
A B C INDIA LIMITED,1000000.0,12,Apr,2019,TL11447
A B C INDIA LIMITED,1000000.0,12,Apr,2019,TL11441
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1113
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1118
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1112
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1115
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1119
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1110
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1111
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1106
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1114
A B C INDIA LIMITED,100000.0,12,Apr,2019,OL1117
ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1000000.0,12,Apr,2019,TL11556
ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,1000000.0,12,Apr,2019,TL11555
ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000.0,12,Apr,2019,OL1125
ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000.0,12,Apr,2019,OL1129
ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000.0,12,Apr,2019,OL1124
ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000.0,12,Apr,2019,OL1128
ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,100000.0,12,Apr,2019,OL1126
ARIHANT ENTERPRISES,1000000.0,12,Apr,2019,TL11551
ARIHANT ENTERPRISES,1000000.0,12,Apr,2019,TL11554
ARIHANT ENTERPRISES,1000000.0,12,Apr,2019,TL11553
ARIHANT ENTERPRISES,1000000.0,12,Apr,2019,TL11552
CHOUDHARY GARMENTS,1000000.0,12,Apr,2019,TL12904
CHOUDHARY GARMENTS,1000000.0,12,Apr,2019,TL12902
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6297
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6275
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6261
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6278
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6262
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6274
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6257
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6273
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6272
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6280
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6251
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC4597
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6279
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6296
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6256
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6286
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6298
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6267
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC4632
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6284
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6254
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6292
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6268
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6258
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6253
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6293
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6281
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6264
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6288
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6300
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6269
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC4598
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6263
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6270
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6283
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6299
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6271
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6252
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6282
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6259
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6295
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6260
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6255
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6265
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6285
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6289
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6291
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6294
ESSEL MINING AND INDS LTD,10000000.0,12,Apr,2019,OC6287
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11440
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11437
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11439
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11445
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11438
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11432
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11444
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11443
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11446
ESSEL MINING AND INDS LTD,1000000.0,12,Apr,2019,TL11442
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7045
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7041
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7025
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7051
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7035
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7059
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7037
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7033
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7053
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7061
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7029
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7049
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7057
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7043
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7039
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7047
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7027
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7055
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7031
GRASIM INDUSTRIES LTD,10000000.0,12,Apr,2019,OC7023
HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,1000000.0,12,Apr,2019,TL3410
HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,1000000.0,12,Apr,2019,TL3407
HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,1000000.0,12,Apr,2019,TL3412
INNOCENT MERCHANDISE PVT LTD,1000000.0,12,Apr,2019,TL11557
INNOCENT MERCHANDISE PVT LTD,1000000.0,12,Apr,2019,TL11558
INNOCENT MERCHANDISE PVT LTD,100000.0,12,Apr,2019,OL1133
INNOCENT MERCHANDISE PVT LTD,100000.0,12,Apr,2019,OL1127
INNOCENT MERCHANDISE PVT LTD,100000.0,12,Apr,2019,OL1131
INNOCENT MERCHANDISE PVT LTD,100000.0,12,Apr,2019,OL1130
INNOCENT MERCHANDISE PVT LTD,100000.0,12,Apr,2019,OL1132
KAMLANG SAW & VENEER MILLS PVT LTD,1000000.0,12,Apr,2019,TL2344
KAMLANG SAW & VENEER MILLS PVT LTD,1000000.0,12,Apr,2019,TL2341
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5485
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5465
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5497
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5510
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5484
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5522
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5490
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5496
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5456
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5469
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5495
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5503
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5486
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5482
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5502
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5500
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5483
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5479
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5473
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5518
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5476
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5501
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5489
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5487
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5499
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5452
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5480
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5494
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5516
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5520
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5506
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5511
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5507
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5505
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5512
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5504
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5508
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5493
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5514
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5478
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5498
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5524
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5488
